x y phi
0.0 0.0 0.0
0.0 0.03 0.0
0.0 0.06 0.0
0.0 0.09 0.0
0.0 0.12 0.0
0.0 0.15 0.0
0.0 0.18 0.0
0.0 0.21 0.0
0.0 0.24 0.0
0.0 0.27 0.0
0.0 0.3 0.0
0.0 0.32999999999999996 0.0
0.0 0.36 0.0
0.0 0.39 0.0
0.0 0.42 0.0
0.0 0.44999999999999996 0.0
0.0 0.48 0.0
0.0 0.51 0.0
0.0 0.54 0.0
0.0 0.57 0.0
0.0 0.6 0.0
0.0 0.63 0.0
0.0 0.6599999999999999 0.0
0.0 0.69 0.0
0.0 0.72 0.0
0.0 0.75 0.0
0.0 0.78 0.0
0.0 0.8099999999999999 0.0
0.0 0.84 0.0
0.0 0.87 0.0
0.0 0.8999999999999999 0.0
0.0 0.9299999999999999 0.0
0.0 0.96 0.0
0.0 0.99 0.0
0.0 1.02 0.0
0.0 1.05 0.0
0.0 1.08 0.0
0.0 1.1099999999999999 0.0
0.0 1.14 0.0
0.0 1.17 0.0
0.0 1.2 0.0
0.0 1.23 0.0
0.0 1.26 0.0
0.0 1.29 0.0
0.0 1.3199999999999998 0.0
0.0 1.3499999999999999 0.0
0.0 1.38 0.0
0.0 1.41 0.0
0.0 1.44 0.0
0.0 1.47 0.0
0.0 1.5 0.0
0.01 0.0 0.0
0.01 0.03 0.015838143625482158
0.01 0.06 0.033740170211711135
0.01 0.09 0.05200021051488404
0.01 0.12 0.07026720578628162
0.01 0.15 0.08847231887991863
0.01 0.18 0.10659097970317982
0.01 0.21 0.12460453943138053
0.01 0.24 0.14249513864412855
0.01 0.27 0.16024511322493362
0.01 0.3 0.1778369453045347
0.01 0.32999999999999996 0.1952532737965783
0.01 0.36 0.21247691088119092
0.01 0.39 0.2294908589074614
0.01 0.42 0.2462783271627615
0.01 0.44999999999999996 0.262822748442695
0.01 0.48 0.2791077954008906
0.01 0.51 0.29511739666211795
0.01 0.54 0.31083575268279495
0.01 0.57 0.32624735134322924
0.01 0.6 0.3413369832562077
0.01 0.63 0.35608975677682575
0.01 0.6599999999999999 0.37049111269874246
0.01 0.69 0.3845268386223596
0.01 0.72 0.39818308298074434
0.01 0.75 0.4114463687094532
0.01 0.78 0.42430360654676796
0.01 0.8099999999999999 0.43674210795121626
0.01 0.84 0.4487495976236304
0.01 0.87 0.4603142256213857
0.01 0.8999999999999999 0.4714245790528623
0.01 0.9299999999999999 0.482069693340593
0.01 0.96 0.4922390630419762
0.01 0.99 0.501922652216879
0.01 1.02 0.5111109043319
0.01 1.05 0.5197947516915127
0.01 1.08 0.5279656243867867
0.01 1.1099999999999999 0.5356154587528533
0.01 1.14 0.5427367053267689
0.01 1.17 0.5493223362979234
0.01 1.2 0.5553658524436412
0.01 1.23 0.5608612895431293
0.01 1.26 0.5658032242634422
0.01 1.29 0.5701867795116582
0.01 1.3199999999999998 0.5740076292479803
0.01 1.3499999999999999 0.5772620027550157
0.01 1.38 0.5799464949270371
0.01 1.41 0.582025163869879
0.01 1.44 0.5816179004545701
0.01 1.47 0.534191473114452
0.01 1.5 0.03141075907812829
0.02 0.0 0.0
0.02 0.03 0.03922692967064664
