x y phi
0.0 0.0 0.0
0.0 0.02 0.0
0.0 0.04 0.0
0.0 0.06 0.0
0.0 0.08 0.0
0.0 0.1 0.0
0.0 0.12 0.0
0.0 0.14 0.0
0.0 0.16 0.0
0.0 0.18 0.0
0.0 0.2 0.0
0.0 0.22 0.0
0.0 0.24 0.0
0.0 0.26 0.0
0.0 0.28 0.0
0.0 0.3 0.0
0.0 0.32 0.0
0.0 0.34 0.0
0.0 0.36 0.0
0.0 0.38 0.0
0.0 0.4 0.0
0.0 0.42 0.0
0.0 0.44 0.0
0.0 0.46 0.0
0.0 0.48 0.0
0.0 0.5 0.0
0.0 0.52 0.0
0.0 0.54 0.0
0.0 0.56 0.0
0.0 0.58 0.0
0.0 0.6 0.0
0.0 0.62 0.0
0.0 0.64 0.0
0.0 0.66 0.0
0.0 0.68 0.0
0.0 0.7000000000000001 0.0
0.0 0.72 0.0
0.0 0.74 0.0
0.0 0.76 0.0
0.0 0.78 0.0
0.0 0.8 0.0
0.0 0.8200000000000001 0.0
0.0 0.84 0.0
0.0 0.86 0.0
0.0 0.88 0.0
0.0 0.9 0.0
0.0 0.92 0.0
0.0 0.9400000000000001 0.0
0.0 0.96 0.0
0.0 0.98 0.0
0.0 1.0 0.0
0.01 0.0 0.0
0.01 0.02 0.05054602214776722
0.01 0.04 0.11534942844421131
0.01 0.06 0.1854474874913174
0.01 0.08 0.2566743133686904
0.01 0.1 0.3274125391352578
0.01 0.12 0.39699236956179584
0.01 0.14 0.4650370789615689
0.01 0.16 0.53125354392519
0.01 0.18 0.5953748886650787
0.01 0.2 0.6571468654022476
0.01 0.22 0.7163254437096246
0.01 0.24 0.7726770242345884
0.01 0.26 0.8259792036903024
0.01 0.28 0.8760216209740394
0.01 0.3 0.9226067812059487
0.01 0.32 0.965550833983679
0.01 0.34 1.0046842987400193
0.01 0.36 1.0398527335661911
0.01 0.38 1.0709173447165634
0.01 0.4 1.0977555343629457
0.01 0.42 1.1202613844319977
0.01 0.44 1.1383460746154406
0.01 0.46 1.1519382329032288
0.01 0.48 1.160984217256267
0.01 0.5 1.165448327307031
0.01 0.52 1.1653129452526079
0.01 0.54 1.1605786053841167
0.01 0.56 1.1512639919781038
0.01 0.58 1.137405865558241
0.01 0.6 1.1190589178183319
0.01 0.62 1.0962955557791825
0.01 0.64 1.0692056160311707
0.01 0.66 1.0378960101902655
0.01 0.68 1.0024903029667225
0.01 0.7000000000000001 0.9631282245116239
0.01 0.72 0.9199651189658095
0.01 0.74 0.8731713313875209
0.01 0.76 0.822931535478282
0.01 0.78 0.7694440047601667
0.01 0.8 0.7129198300807914
0.01 0.8200000000000001 0.6535820865341759
0.01 0.84 0.591664953085263
0.01 0.86 0.5274127883725277
0.01 0.88 0.4610791663360693
0.01 0.9 0.39292587547711627
0.01 0.92 0.3232218268525105
0.01 0.9400000000000001 0.2522364260684893
0.01 0.96 0.18006219290823658
0.01 0.98 0.10404634943222293
0.01 1.0 3.846708556381848E-18
0.02 0.0 0.0
0.02 0.02 0.12984803808056464
0.02 0.04 0.2994277352274677
0.02 0.06 0.48488525972431984
0.02 0.08 0.6743020905753307
0.02 0.1 0.8628131534718456
0.02 0.12 1.0483924135609102
0.02 0.14 1.2299520964877941
0.02 0.16 1.4066853283640244
0.02 0.18 1.5778731561894714
0.02 0.2 1.7428351482392834
0.02 0.22 1.9009192352150661
0.02 0.24 2.051501316027044
0.02 0.26 2.1939870687837795
0.02 0.28 2.3278141588863166
0.02 0.3 2.4524544303459015
0.02 0.32 2.567415984655173
0.02 0.34 2.672245121025678
0.02 0.36 2.7665281267382547
0.02 0.38 2.8498929098414347
0.02 0.4 2.922010467621756
0.02 0.42 2.9825961850259857
0.02 0.44 3.031410957906503
0.02 0.46 3.0682621366560943
0.02 0.48 3.093004286507937
0.02 0.5 3.1055397615001787
0.02 0.52 3.10581908983994
0.02 0.54 3.0938411691458754
0.02 0.56 3.069653270798774
0.02 0.58 3.0333508533830114
0.02 0.6 2.985077185955131
0.02 0.62 2.92502278262633
0.02 0.64 2.8534246506903
0.02 0.66 2.7705653552637175
0.02 0.68 2.6767719041308196
0.02 0.7000000000000001 2.5724144571930756
0.02 0.72 2.457904865617168
0.02 0.74 2.333695046446589
0.02 0.76 2.200275199091537
0.02 0.78 2.0581718707357926
0.02 0.8 1.9079458782955396
0.02 0.8200000000000001 1.7501900951312124
0.02 0.84 1.5855271112471994
0.02 0.86 1.4146067762135281
0.02 0.88 1.2381036345065044
0.02 0.9 1.0567142633898292
0.02 0.92 0.8711542212887465
0.02 0.9400000000000001 0.6821329841790954
0.02 0.96 0.4897514531063703
0.02 0.98 0.2856826892551009
0.02 1.0 7.6896208758373E-18
0.03 0.0 0.0
0.03 0.02 0.23753641194293562
0.03 0.04 0.5531215584574798
0.03 0.06 0.9018418273424245
