x t
1.0 4.1363596648216365E-5
6.0 4.131957185272388E-5
11.0 4.1290273657292064E-5
16.0 4.1271092900757154E-5
21.0 4.125390853252479E-5
26.0 4.1242452181645876E-5
31.0 4.125356046542029E-5
36.0 4.122096166668883E-5
41.0 4.062866593012375E-5
46.0 3.9142304550366465E-5
51.0 3.682129673334624E-5
56.0 3.3729088657804366E-5
61.0 2.989457268023853E-5
66.0 2.547365496582203E-5
71.0 2.1087293497921245E-5
76.0 1.7008451064385974E-5
81.0 1.3200119311312804E-5
86.0 9.618904693573304E-6
91.0 6.238109730073264E-6
96.0 3.037710015486931E-6
